First Name,Last Name ,Year,Salaries,Rank
Victor,Alexander,2000,NA,492
Harold,Jamison,2000,NA,493
Sean,Marks,2000,NA,494
Raja,Bell,2000,NA,495
Charles,Smith,2000,NA,496
Predrag,Drobnjak,2000,NA,497
Steve,Goodrich,2000,NA,498
Wang,Zhizhi,2000,NA,499
Art,Long,2000,NA,500
Jerome,James,2000,NA,501
Amal,McCaskill,2000,NA,502
Terence,Morris,2000,NA,503
Brian,Scalabrine,2000,NA,504
Trenton,Hassell,2000,NA,505
Jeff,Trepagnier,2000,NA,506
Kenny,Satterfield,2000,NA,507
Ratko,Varda,2000,NA,508
Dean,Oliver,2000,NA,509
Gilbert,Arenas,2000,NA,510
Oscar,Torres,2000,NA,511
Tierre,Brown,2000,NA,512
Jamison,Brewer,2000,NA,513
Norm,Richardson,2000,NA,514
Antonis,Fotsis,2000,NA,515
Willie,Solomon,2000,NA,516
Ernest,Brown,2000,NA,517
Malik,Allen,2000,NA,518
Loren,Woods,2000,NA,519
Maurice,Evans,2000,NA,520
Earl,Watson,2000,NA,521
Alvin,Jones,2000,NA,522
Damone,Brown,2000,NA,523
Alton,Ford,2000,NA,524
Ruben,Boumtje-Boumtje,2000,NA,525
Carlos,Arroyo,2000,NA,526
Jarron,Collins,2000,NA,527
Bobby,Simmons,2000,NA,528
Omar,Cook,2000,NA,529
Chris,Andersen,2000,NA,530
Sam,Mack,2000,NA,531
Charlie,Bell,2000,NA,532
Tang,Hamilton,2000,NA,533
Joe,Crispin,2000,NA,534
Dickey,Simpkins,2000,NA,535
Yao,Ming,2000,NA,536
Jay,Williams,2000,NA,537
Mike,Dunleavy,2000,NA,538
Drew,Gooden,2000,NA,539
Nikoloz,Tskitishvili,2000,NA,540
Dajuan,Wagner,2000,NA,541
Nen<U+00A8><U+00BA>,,2000,NA,542
Chris,Wilcox,2000,NA,543
Amare,Stoudemire,2000,NA,544
Marko,Jaric,2000,NA,545
Caron,Butler,2000,NA,546
Jared,Jeffries,2000,NA,547
Cezary,Trybanski,2000,NA,548
Melvin,Ely,2000,NA,549
Marcus,Haislip,2000,NA,550
Gordan,Giricek,2000,NA,551
Fred,Jones,2000,NA,552
Manu,Ginobili,2000,NA,553
Jiri,Welsch,2000,NA,554
